BillingID,SubscriptionID,CustomerID,BillingDate,Amount,Discount,Tax,FinalAmount,PaymentMethod
BILL0000001,SUB000001,CUST00001,2024-05-22,7.99,0.0,0.89,8.88,Net Banking
BILL0000002,SUB000001,CUST00001,2024-06-22,7.99,0.0,0.86,8.85,UPI
BILL0000003,SUB000001,CUST00001,2024-07-22,7.99,0.0,0.93,8.92,Apple Pay
BILL0000004,SUB000001,CUST00001,2024-08-22,7.99,0.0,0.61,8.6,Net Banking
BILL0000005,SUB000001,CUST00001,2024-09-22,7.99,0.0,0.7,8.69,Google Pay
BILL0000006,SUB000001,CUST00001,2024-10-22,7.99,0.0,0.5,8.49,Debit Card
BILL0000007,SUB000001,CUST00001,2024-11-22,7.99,0.0,0.74,8.73,UPI
BILL0000008,SUB000001,CUST00001,2024-12-22,7.99,0.0,0.69,8.68,UPI
BILL0000009,SUB000001,CUST00001,2025-01-22,7.99,0.0,0.42,8.41,Net Banking
BILL0000010,SUB000001,CUST00001,2025-02-22,7.99,0.0,0.43,8.42,UPI
BILL0000011,SUB000001,CUST00001,2025-03-22,7.99,0.0,0.4,8.39,Google Pay
BILL0000012,SUB000001,CUST00001,2025-04-22,7.99,0.0,0.85,8.84,UPI
BILL0000013,SUB000001,CUST00001,2025-05-22,7.99,0.0,0.58,8.57,Credit Card
BILL0000014,SUB000001,CUST00001,2025-06-22,7.99,0.0,0.89,8.88,Google Pay
BILL0000015,SUB000001,CUST00001,2025-07-22,7.99,0.0,0.53,8.52,Apple Pay
BILL0000016,SUB000001,CUST00001,2025-08-22,7.99,0.0,0.64,8.63,Net Banking
BILL0000017,SUB000001,CUST00001,2025-09-22,7.99,0.0,0.92,8.91,Apple Pay
BILL0000018,SUB000001,CUST00001,2025-10-22,7.99,0.0,0.64,8.63,Google Pay
BILL0000019,SUB000002,CUST00002,2025-08-23,7.99,0.0,0.82,8.81,Net Banking
BILL0000020,SUB000002,CUST00002,2025-09-23,7.99,0.0,0.88,8.87,PayPal
BILL0000021,SUB000002,CUST00002,2025-10-23,7.99,0.0,0.51,8.5,Apple Pay
BILL0000022,SUB000003,CUST00003,2025-09-09,7.99,0.0,0.59,8.58,PayPal
BILL0000023,SUB000003,CUST00003,2025-10-09,7.99,0.0,0.8,8.79,UPI
BILL0000024,SUB000004,CUST00004,2024-04-28,12.99,0.0,0.71,13.7,Debit Card
BILL0000025,SUB000004,CUST00004,2024-05-28,12.99,2.6,1.09,11.48,Credit Card
BILL0000026,SUB000004,CUST00004,2024-06-28,12.99,0.0,1.13,14.12,Stripe
BILL0000027,SUB000004,CUST00004,2024-07-28,12.99,0.0,0.92,13.91,UPI
BILL0000028,SUB000004,CUST00004,2024-08-28,12.99,0.0,1.07,14.06,Apple Pay
BILL0000029,SUB000004,CUST00004,2024-09-28,12.99,0.0,0.83,13.82,Net Banking
BILL0000030,SUB000004,CUST00004,2024-10-28,12.99,0.0,0.67,13.66,Debit Card
BILL0000031,SUB000005,CUST00005,2024-11-09,29.99,0.0,1.95,31.94,Stripe
BILL0000032,SUB000005,CUST00005,2024-12-09,29.99,0.0,2.88,32.87,UPI
BILL0000033,SUB000005,CUST00005,2025-01-09,29.99,0.0,2.49,32.48,Net Banking
BILL0000034,SUB000005,CUST00005,2025-02-09,29.99,0.0,1.55,31.54,Stripe
BILL0000035,SUB000005,CUST00005,2025-03-09,29.99,0.0,3.11,33.1,PayPal
BILL0000036,SUB000005,CUST00005,2025-04-09,29.99,0.0,1.89,31.88,Apple Pay
BILL0000037,SUB000005,CUST00005,2025-05-09,29.99,4.5,3.31,28.8,Apple Pay
BILL0000038,SUB000005,CUST00005,2025-06-09,29.99,0.0,3.09,33.08,Credit Card
BILL0000039,SUB000005,CUST00005,2025-07-09,29.99,0.0,2.84,32.83,Debit Card
BILL0000040,SUB000005,CUST00005,2025-08-09,29.99,0.0,2.76,32.75,Net Banking
BILL0000041,SUB000005,CUST00005,2025-09-09,29.99,0.0,2.34,32.33,Debit Card
BILL0000042,SUB000005,CUST00005,2025-10-09,29.99,0.0,2.7,32.69,PayPal
BILL0000043,SUB000005,CUST00005,2025-11-09,29.99,0.0,2.47,32.46,Stripe
BILL0000044,SUB000006,CUST00006,2025-08-19,12.99,0.0,1.18,14.17,UPI
BILL0000045,SUB000006,CUST00006,2025-09-19,12.99,0.0,0.74,13.73,Net Banking
BILL0000046,SUB000006,CUST00006,2025-10-19,12.99,0.0,0.88,13.87,Google Pay
BILL0000047,SUB000007,CUST00007,2025-08-30,12.99,0.0,1.05,14.04,Stripe
BILL0000048,SUB000007,CUST00007,2025-09-30,12.99,0.0,1.11,14.1,Credit Card
BILL0000049,SUB000007,CUST00007,2025-10-30,12.99,0.0,0.71,13.7,Credit Card
BILL0000050,SUB000008,CUST00008,2023-05-07,0.0,0.0,0.0,0.0,Google Pay
BILL0000051,SUB000008,CUST00008,2023-06-07,0.0,0.0,0.0,0.0,Stripe
BILL0000052,SUB000008,CUST00008,2023-07-07,0.0,0.0,0.0,0.0,Credit Card
BILL0000053,SUB000008,CUST00008,2023-08-07,0.0,0.0,0.0,0.0,UPI
BILL0000054,SUB000008,CUST00008,2023-09-07,0.0,0.0,0.0,0.0,Apple Pay
BILL0000055,SUB000008,CUST00008,2023-10-07,0.0,0.0,0.0,0.0,UPI
BILL0000056,SUB000008,CUST00008,2023-11-07,0.0,0.0,0.0,0.0,UPI
BILL0000057,SUB000008,CUST00008,2023-12-07,0.0,0.0,0.0,0.0,Net Banking
BILL0000058,SUB000008,CUST00008,2024-01-07,0.0,0.0,0.0,0.0,Net Banking
BILL0000059,SUB000008,CUST00008,2024-02-07,0.0,0.0,0.0,0.0,Stripe
BILL0000060,SUB000008,CUST00008,2024-03-07,0.0,0.0,0.0,0.0,Google Pay
BILL0000061,SUB000008,CUST00008,2024-04-07,0.0,0.0,0.0,0.0,Stripe
BILL0000062,SUB000008,CUST00008,2024-05-07,0.0,0.0,0.0,0.0,Credit Card
BILL0000063,SUB000008,CUST00008,2024-06-07,0.0,0.0,0.0,0.0,UPI
BILL0000064,SUB000008,CUST00008,2024-07-07,0.0,0.0,0.0,0.0,Apple Pay
BILL0000065,SUB000008,CUST00008,2024-08-07,0.0,0.0,0.0,0.0,Credit Card
BILL0000066,SUB000008,CUST00008,2024-09-07,0.0,0.0,0.0,0.0,Net Banking
BILL0000067,SUB000008,CUST00008,2024-10-07,0.0,0.0,0.0,0.0,Apple Pay
BILL0000068,SUB000008,CUST00008,2024-11-07,0.0,0.0,0.0,0.0,Net Banking
BILL0000069,SUB000008,CUST00008,2024-12-07,0.0,0.0,0.0,0.0,Google Pay
BILL0000070,SUB000008,CUST00008,2025-01-07,0.0,0.0,0.0,0.0,UPI
BILL0000071,SUB000008,CUST00008,2025-02-07,0.0,0.0,0.0,0.0,Debit Card
BILL0000072,SUB000008,CUST00008,2025-03-07,0.0,0.0,0.0,0.0,Stripe
BILL0000073,SUB000008,CUST00008,2025-04-07,0.0,0.0,0.0,0.0,UPI
BILL0000074,SUB000008,CUST00008,2025-05-07,0.0,0.0,0.0,0.0,UPI
BILL0000075,SUB000008,CUST00008,2025-06-07,0.0,0.0,0.0,0.0,Stripe
BILL0000076,SUB000008,CUST00008,2025-07-07,0.0,0.0,0.0,0.0,Net Banking
BILL0000077,SUB000008,CUST00008,2025-08-07,0.0,0.0,0.0,0.0,Credit Card
BILL0000078,SUB000008,CUST00008,2025-09-07,0.0,0.0,0.0,0.0,Stripe
BILL0000079,SUB000008,CUST00008,2025-10-07,0.0,0.0,0.0,0.0,Stripe
BILL0000080,SUB000008,CUST00008,2025-11-07,0.0,0.0,0.0,0.0,Credit Card
BILL0000081,SUB000009,CUST00009,2025-03-04,12.99,0.0,0.98,13.97,Net Banking
BILL0000082,SUB000009,CUST00009,2025-04-04,12.99,0.0,1.24,14.23,PayPal
BILL0000083,SUB000009,CUST00009,2025-05-04,12.99,0.0,1.19,14.18,Google Pay
BILL0000084,SUB000009,CUST00009,2025-06-04,12.99,0.0,0.85,13.84,PayPal
BILL0000085,SUB000009,CUST00009,2025-07-04,12.99,0.0,0.98,13.97,Google Pay
BILL0000086,SUB000009,CUST00009,2025-08-04,12.99,0.0,1.53,14.52,Net Banking
BILL0000087,SUB000009,CUST00009,2025-09-04,12.99,2.6,1.23,11.62,Debit Card
