ChurnEventID,CustomerID,SubscriptionID,Churned,ChurnDate,ChurnReason
CHURN0000001,CUST03175,SUB003175,False,,
CHURN0000002,CUST00861,SUB000861,False,,
CHURN0000003,CUST01295,SUB001295,True,2025-11-10,Price
CHURN0000004,CUST01131,SUB001131,False,,
CHURN0000005,CUST01096,SUB001096,True,2025-11-11,Found alternative
CHURN0000006,CUST03093,SUB003093,False,,
CHURN0000007,CUST01639,SUB001639,False,,
CHURN0000008,CUST02170,SUB002170,False,,
CHURN0000009,CUST00467,SUB000467,True,2025-11-17,Moved to competitor
CHURN0000010,CUST01239,SUB001239,False,,
CHURN0000011,CUST00331,SUB000331,True,2025-03-30,Moved to competitor
CHURN0000012,CUST01483,SUB001483,False,,
CHURN0000013,CUST02136,SUB002136,True,2025-10-28,Other
CHURN0000014,CUST03445,SUB003445,True,2025-11-01,Price
CHURN0000015,CUST03172,SUB003172,False,,
CHURN0000016,CUST02920,SUB002920,True,2025-08-25,Infrequent use
CHURN0000017,CUST00131,SUB000131,False,,
CHURN0000018,CUST01686,SUB001686,False,,
CHURN0000019,CUST03381,SUB003381,True,2025-06-16,Moved to competitor
CHURN0000020,CUST00770,SUB000770,True,2025-10-02,Moved to competitor
CHURN0000021,CUST02392,SUB002392,True,2025-10-22,Infrequent use
CHURN0000022,CUST01516,SUB001516,True,2024-07-15,Other
CHURN0000023,CUST03486,SUB003486,True,2025-10-17,Infrequent use
CHURN0000024,CUST02854,SUB002854,False,,
CHURN0000025,CUST02434,SUB002434,False,,
CHURN0000026,CUST01216,SUB001216,False,,
CHURN0000027,CUST00956,SUB000956,False,,
CHURN0000028,CUST02325,SUB002325,False,,
CHURN0000029,CUST01185,SUB001185,False,,
CHURN0000030,CUST00460,SUB000460,True,2025-11-13,Moved to competitor
CHURN0000031,CUST03386,SUB003386,True,2025-11-17,Price
CHURN0000032,CUST00022,SUB000022,False,,
CHURN0000033,CUST02301,SUB002301,False,,
CHURN0000034,CUST00748,SUB000748,False,,
CHURN0000035,CUST02905,SUB002905,True,2025-06-20,Infrequent use
CHURN0000036,CUST00475,SUB000475,True,2025-07-08,Poor experience
CHURN0000037,CUST01083,SUB001083,False,,
CHURN0000038,CUST02559,SUB002559,False,,
CHURN0000039,CUST02048,SUB002048,True,2025-08-18,Moved to competitor
CHURN0000040,CUST02748,SUB002748,True,2025-02-09,Infrequent use
CHURN0000041,CUST00976,SUB000976,False,,
CHURN0000042,CUST01807,SUB001807,False,,
CHURN0000043,CUST00190,SUB000190,True,2025-09-07,Poor experience
