SubscriptionID,CustomerID,Plan,MonthlyPrice,StartDate,EndDate,IsActive
SUB000001,CUST00001,Basic,7.99,2024-05-22,,True
SUB000002,CUST00002,Basic,7.99,2025-08-23,,True
SUB000003,CUST00003,Basic,7.99,2025-09-09,2025-10-26,False
SUB000004,CUST00004,Standard,12.99,2024-04-28,2024-10-02,False
SUB000005,CUST00005,Family,29.99,2024-11-09,,True
SUB000006,CUST00006,Standard,12.99,2025-08-19,,True
SUB000007,CUST00007,Standard,12.99,2025-08-30,2025-11-13,False
SUB000008,CUST00008,Free,0.0,2023-05-07,,True
SUB000009,CUST00009,Standard,12.99,2025-03-04,,True
SUB000010,CUST00010,Basic,7.99,2024-11-28,2025-03-09,False
SUB000011,CUST00011,Family,29.99,2024-10-07,2025-08-04,False
SUB000012,CUST00012,Standard,12.99,2025-06-06,,True
SUB000013,CUST00013,Free,0.0,2025-10-20,2025-10-25,False
SUB000014,CUST00014,Basic,7.99,2025-10-13,,True
SUB000015,CUST00015,Family,29.99,2025-07-02,,True
SUB000016,CUST00016,Standard,12.99,2025-04-11,,True
SUB000017,CUST00017,Standard,12.99,2025-10-03,,True
SUB000018,CUST00018,Premium,19.99,2025-01-14,,True
SUB000019,CUST00019,Standard,12.99,2025-06-19,,True
SUB000020,CUST00020,Standard,12.99,2025-09-25,,True
SUB000021,CUST00021,Free,0.0,2025-06-02,,True
SUB000022,CUST00022,Basic,7.99,2023-10-29,,True
SUB000023,CUST00023,Premium,19.99,2025-02-11,2025-03-24,False
SUB000024,CUST00024,Standard,12.99,2024-05-13,,True
SUB000025,CUST00025,Free,0.0,2024-11-16,2024-11-20,False
SUB000026,CUST00026,Standard,12.99,2025-05-17,,True
SUB000027,CUST00027,Standard,12.99,2025-11-15,2025-11-16,False
SUB000028,CUST00028,Free,0.0,2025-01-04,,True
SUB000029,CUST00029,Standard,12.99,2024-12-29,,True
SUB000030,CUST00030,Basic,7.99,2025-08-28,,True
SUB000031,CUST00031,Free,0.0,2025-05-31,2025-08-01,False
SUB000032,CUST00032,Premium,19.99,2023-06-19,,True
SUB000033,CUST00033,Standard,12.99,2025-10-23,,True
SUB000034,CUST00034,Free,0.0,2025-11-08,,True
SUB000035,CUST00035,Basic,7.99,2025-06-13,,True
SUB000036,CUST00036,Basic,7.99,2023-10-21,,True
