UsageID,CustomerID,SubscriptionID,UsageDate,MinutesWatched,Sessions,Device,ItemsConsumed
USE00000001,CUST01651,SUB001651,2024-04-20,83,1,Smart TV,0
USE00000002,CUST02003,SUB002003,2025-05-07,0,1,Smart TV,10
USE00000003,CUST00398,SUB000398,2025-06-24,114,2,Mobile,0
USE00000004,CUST00812,SUB000812,2025-11-01,50,2,Mobile,7
USE00000005,CUST00817,SUB000817,2024-11-23,98,1,Desktop,0
USE00000006,CUST00288,SUB000288,2025-11-10,55,3,Mobile,4
USE00000007,CUST02986,SUB002986,2025-08-11,46,1,Tablet,2
USE00000008,CUST02057,SUB002057,2023-07-07,50,1,Mobile,3
USE00000009,CUST02067,SUB002067,2025-11-06,30,1,Mobile,9
USE00000010,CUST01276,SUB001276,2025-03-05,70,1,Desktop,0
USE00000011,CUST00364,SUB000364,2025-08-29,11,3,Desktop,5
USE00000012,CUST03083,SUB003083,2023-10-10,45,1,Mobile,11
USE00000013,CUST00970,SUB000970,2025-11-16,27,3,Mobile,0
USE00000014,CUST02123,SUB002123,2024-12-29,7,2,Mobile,2
USE00000015,CUST01886,SUB001886,2025-03-19,67,1,Mobile,1
USE00000016,CUST03092,SUB003092,2025-09-15,80,1,Desktop,0
USE00000017,CUST00244,SUB000244,2025-10-26,15,1,Tablet,5
USE00000018,CUST01392,SUB001392,2025-11-15,35,1,Desktop,2
USE00000019,CUST00022,SUB000022,2024-12-16,42,1,Tablet,8
USE00000020,CUST01218,SUB001218,2025-11-11,62,2,Tablet,4
USE00000021,CUST02854,SUB002854,2024-10-30,36,2,Mobile,6
USE00000022,CUST00650,SUB000650,2025-01-11,11,2,Desktop,4
USE00000023,CUST00560,SUB000560,2025-11-16,47,1,Desktop,2
USE00000024,CUST01315,SUB001315,2025-05-22,67,1,Mobile,4
USE00000025,CUST01163,SUB001163,2025-03-27,0,2,Mobile,22
USE00000026,CUST00998,SUB000998,2024-08-17,71,1,Desktop,0
USE00000027,CUST03330,SUB003330,2025-11-15,89,1,Smart TV,18
USE00000028,CUST01846,SUB001846,2024-03-07,0,1,Smart TV,4
USE00000029,CUST00591,SUB000591,2025-11-17,0,1,Mobile,5
USE00000030,CUST02820,SUB002820,2025-06-26,0,2,Tablet,12
USE00000031,CUST00810,SUB000810,2025-02-07,42,1,Smart TV,0
USE00000032,CUST03054,SUB003054,2025-01-05,0,2,Mobile,4
USE00000033,CUST01167,SUB001167,2025-08-24,84,3,Console,11
USE00000034,CUST03273,SUB003273,2025-10-25,2,1,Tablet,9
USE00000035,CUST01868,SUB001868,2025-04-04,101,1,Mobile,2
USE00000036,CUST00234,SUB000234,2023-08-29,40,1,Smart TV,5
USE00000037,CUST01840,SUB001840,2025-06-28,36,1,Console,4
USE00000038,CUST01810,SUB001810,2025-11-03,1,1,Tablet,2
USE00000039,CUST01550,SUB001550,2025-10-28,0,1,Mobile,3
USE00000040,CUST02845,SUB002845,2025-11-11,0,1,Mobile,0
USE00000041,CUST02477,SUB002477,2025-08-20,20,1,Mobile,11
USE00000042,CUST01175,SUB001175,2025-03-11,35,1,Mobile,1
USE00000043,CUST01319,SUB001319,2025-10-12,51,1,Smart TV,3
USE00000044,CUST02530,SUB002530,2025-03-12,42,1,Desktop,13
USE00000045,CUST00883,SUB000883,2024-06-29,0,1,Tablet,2
USE00000046,CUST00060,SUB000060,2025-06-26,0,1,Console,11
USE00000047,CUST01454,SUB001454,2025-03-14,0,1,Tablet,5
USE00000048,CUST01094,SUB001094,2025-06-08,93,1,Desktop,2
USE00000049,CUST01002,SUB001002,2024-07-01,155,1,Mobile,9
USE00000050,CUST01897,SUB001897,2025-11-13,89,1,Mobile,1
USE00000051,CUST01923,SUB001923,2025-11-09,5,1,Smart TV,10
USE00000052,CUST00103,SUB000103,2025-03-27,15,2,Smart TV,0
USE00000053,CUST02166,SUB002166,2025-06-03,0,3,Mobile,13
USE00000054,CUST02965,SUB002965,2025-04-14,0,1,Tablet,0
USE00000055,CUST00989,SUB000989,2025-11-13,29,1,Smart TV,4
USE00000056,CUST02410,SUB002410,2025-09-30,0,1,Desktop,4
USE00000057,CUST01463,SUB001463,2025-08-20,0,2,Mobile,3
USE00000058,CUST01283,SUB001283,2025-11-08,30,2,Mobile,3
USE00000059,CUST01204,SUB001204,2025-11-08,28,1,Tablet,18
USE00000060,CUST00714,SUB000714,2025-11-06,0,1,Smart TV,12
USE00000061,CUST02082,SUB002082,2025-10-06,5,1,Mobile,4
USE00000062,CUST02320,SUB002320,2025-10-29,17,1,Mobile,1
USE00000063,CUST00860,SUB000860,2024-10-20,106,2,Desktop,3
USE00000064,CUST00980,SUB000980,2025-10-16,0,3,Tablet,4
USE00000065,CUST01329,SUB001329,2025-01-08,132,1,Tablet,7
USE00000066,CUST01589,SUB001589,2025-08-22,71,1,Console,1
USE00000067,CUST01881,SUB001881,2025-03-19,62,2,Mobile,7
USE00000068,CUST01861,SUB001861,2025-07-02,49,2,Mobile,3
USE00000069,CUST02131,SUB002131,2025-09-29,52,1,Desktop,6
USE00000070,CUST01183,SUB001183,2025-05-04,0,1,Desktop,0
USE00000071,CUST02335,SUB002335,2025-06-25,0,3,Tablet,0
USE00000072,CUST01466,SUB001466,2024-11-30,48,2,Desktop,23
USE00000073,CUST01695,SUB001695,2025-08-20,22,2,Tablet,5
USE00000074,CUST00143,SUB000143,2024-04-03,36,2,Mobile,2
USE00000075,CUST01594,SUB001594,2024-06-14,65,2,Mobile,0
USE00000076,CUST02085,SUB002085,2025-09-21,0,2,Desktop,6
USE00000077,CUST00921,SUB000921,2025-08-15,0,1,Mobile,0
USE00000078,CUST02330,SUB002330,2025-11-16,50,1,Tablet,1
USE00000079,CUST02326,SUB002326,2025-10-17,33,3,Mobile,1
USE00000080,CUST01643,SUB001643,2025-08-25,42,1,Desktop,12
USE00000081,CUST02607,SUB002607,2025-05-24,11,1,Tablet,15
USE00000082,CUST01933,SUB001933,2025-06-03,39,1,Smart TV,0
USE00000083,CUST00010,SUB000010,2024-12-24,0,1,Smart TV,0
USE00000084,CUST02279,SUB002279,2025-04-20,91,2,Smart TV,0
USE00000085,CUST01631,SUB001631,2025-10-11,76,1,Mobile,11
USE00000086,CUST03059,SUB003059,2025-06-02,23,2,Smart TV,2
USE00000087,CUST01720,SUB001720,2025-08-30,0,2,Smart TV,21
USE00000088,CUST02315,SUB002315,2025-11-05,0,3,Mobile,2
USE00000089,CUST02039,SUB002039,2025-10-18,66,3,Smart TV,8
USE00000090,CUST01024,SUB001024,2025-07-21,25,1,Mobile,11
USE00000091,CUST02445,SUB002445,2025-10-28,53,2,Console,8
USE00000092,CUST03079,SUB003079,2025-01-24,0,1,Smart TV,0
USE00000093,CUST01841,SUB001841,2023-07-02,74,2,Tablet,4
USE00000094,CUST02340,SUB002340,2025-10-16,0,1,Desktop,6
USE00000095,CUST02258,SUB002258,2024-09-17,0,1,Mobile,5
USE00000096,CUST03241,SUB003241,2025-02-28,63,2,Tablet,16
USE00000097,CUST02841,SUB002841,2025-11-08,0,1,Desktop,18
USE00000098,CUST00036,SUB000036,2023-11-22,22,2,Mobile,2
USE00000099,CUST00782,SUB000782,2025-11-16,76,2,Desktop,5
USE00000100,CUST01766,SUB001766,2025-01-12,37,1,Smart TV,1
USE00000101,CUST00026,SUB000026,2025-11-07,65,3,Desktop,5
USE00000102,CUST00196,SUB000196,2025-10-20,47,2,Mobile,4
USE00000103,CUST01580,SUB001580,2025-02-01,124,1,Mobile,3
USE00000104,CUST03079,SUB003079,2025-07-11,64,1,Mobile,2
USE00000105,CUST02206,SUB002206,2025-06-17,0,1,Tablet,2
USE00000106,CUST03073,SUB003073,2025-04-20,21,2,Smart TV,15
USE00000107,CUST02274,SUB002274,2025-10-20,68,2,Mobile,1
USE00000108,CUST00736,SUB000736,2025-09-08,20,2,Mobile,2
USE00000109,CUST03378,SUB003378,2025-09-26,28,1,Desktop,19
USE00000110,CUST01656,SUB001656,2025-09-12,40,1,Tablet,4
USE00000111,CUST02486,SUB002486,2025-06-22,71,2,Mobile,1
USE00000112,CUST00602,SUB000602,2025-09-18,4,2,Mobile,4
USE00000113,CUST02557,SUB002557,2025-11-12,33,1,Smart TV,1
USE00000114,CUST03232,SUB003232,2025-07-02,34,1,Mobile,12
USE00000115,CUST02504,SUB002504,2025-11-06,93,1,Tablet,2
USE00000116,CUST02182,SUB002182,2025-06-30,5,3,Tablet,1
USE00000117,CUST01688,SUB001688,2025-08-27,0,3,Mobile,5
USE00000118,CUST03181,SUB003181,2024-08-28,85,2,Tablet,6
USE00000119,CUST03430,SUB003430,2025-10-07,37,1,Smart TV,9
USE00000120,CUST03233,SUB003233,2024-03-11,22,4,Tablet,10
USE00000121,CUST01183,SUB001183,2025-04-17,22,1,Tablet,2
USE00000122,CUST02237,SUB002237,2025-08-08,117,2,Mobile,4
USE00000123,CUST00080,SUB000080,2025-10-23,76,2,Mobile,2
USE00000124,CUST03227,SUB003227,2025-08-27,73,1,Smart TV,20
USE00000125,CUST02031,SUB002031,2024-12-25,36,1,Mobile,4
USE00000126,CUST00616,SUB000616,2025-02-27,0,1,Mobile,4
USE00000127,CUST02269,SUB002269,2025-11-01,34,1,Mobile,2
USE00000128,CUST02266,SUB002266,2025-08-05,97,1,Mobile,0
USE00000129,CUST00709,SUB000709,2025-11-03,36,2,Tablet,1
USE00000130,CUST03350,SUB003350,2025-11-09,21,1,Console,1
USE00000131,CUST00288,SUB000288,2025-11-10,38,1,Mobile,0
USE00000132,CUST02828,SUB002828,2025-10-20,112,2,Tablet,8
USE00000133,CUST01719,SUB001719,2025-10-18,0,1,Tablet,2
USE00000134,CUST01275,SUB001275,2025-10-19,25,1,Desktop,0
USE00000135,CUST00871,SUB000871,2024-08-26,28,2,Mobile,10
USE00000136,CUST00994,SUB000994,2025-01-07,0,1,Tablet,0
USE00000137,CUST00330,SUB000330,2025-09-15,56,2,Mobile,8
USE00000138,CUST02234,SUB002234,2025-11-08,0,3,Tablet,2
USE00000139,CUST02149,SUB002149,2025-07-15,5,1,Mobile,2
USE00000140,CUST00254,SUB000254,2025-06-12,0,1,Mobile,16
USE00000141,CUST01832,SUB001832,2025-07-16,36,4,Desktop,7
USE00000142,CUST00356,SUB000356,2025-09-27,105,1,Mobile,0
USE00000143,CUST00571,SUB000571,2025-07-01,124,2,Mobile,0
USE00000144,CUST01287,SUB001287,2025-10-13,7,1,Tablet,5
USE00000145,CUST03453,SUB003453,2025-10-01,45,2,Mobile,0
USE00000146,CUST01878,SUB001878,2025-09-30,109,1,Mobile,2
USE00000147,CUST00236,SUB000236,2025-10-31,29,1,Mobile,10
USE00000148,CUST00314,SUB000314,2025-08-09,9,1,Mobile,1
USE00000149,CUST01926,SUB001926,2025-09-22,0,1,Mobile,2
USE00000150,CUST02174,SUB002174,2025-03-22,24,1,Mobile,6
USE00000151,CUST03076,SUB003076,2025-04-13,103,1,Desktop,4
USE00000152,CUST02746,SUB002746,2025-11-12,37,1,Smart TV,1
USE00000153,CUST02784,SUB002784,2025-06-10,94,1,Mobile,14
USE00000154,CUST03425,SUB003425,2025-10-11,40,1,Desktop,6
USE00000155,CUST01394,SUB001394,2025-11-06,22,1,Desktop,7
USE00000156,CUST00994,SUB000994,2025-03-02,59,1,Mobile,8
USE00000157,CUST02264,SUB002264,2025-07-02,19,3,Desktop,0
USE00000158,CUST01036,SUB001036,2024-12-24,37,1,Desktop,0
USE00000159,CUST02164,SUB002164,2025-09-20,0,1,Mobile,4
USE00000160,CUST00639,SUB000639,2025-10-31,30,1,Mobile,2
USE00000161,CUST02929,SUB002929,2025-08-27,0,2,Desktop,5
USE00000162,CUST01272,SUB001272,2025-03-14,108,2,Mobile,12
USE00000163,CUST03238,SUB003238,2025-11-13,0,1,Mobile,2
USE00000164,CUST01348,SUB001348,2025-07-08,0,2,Tablet,6
USE00000165,CUST01464,SUB001464,2025-02-17,12,1,Mobile,9
USE00000166,CUST00637,SUB000637,2025-03-11,0,1,Mobile,7
USE00000167,CUST01364,SUB001364,2025-08-10,0,1,Mobile,10
USE00000168,CUST00359,SUB000359,2025-03-13,59,1,Desktop,20
USE00000169,CUST01511,SUB001511,2024-12-23,66,1,Desktop,3
USE00000170,CUST03401,SUB003401,2025-10-18,0,1,Desktop,2
USE00000171,CUST00807,SUB000807,2025-08-18,58,1,Smart TV,2
USE00000172,CUST00465,SUB000465,2025-06-25,0,1,Mobile,23
USE00000173,CUST02806,SUB002806,2025-03-07,0,1,Mobile,3
USE00000174,CUST00773,SUB000773,2025-09-25,116,2,Mobile,2
USE00000175,CUST02883,SUB002883,2025-04-13,105,1,Desktop,1
USE00000176,CUST01872,SUB001872,2025-05-28,30,1,Desktop,1
USE00000177,CUST00704,SUB000704,2025-01-05,53,3,Desktop,10
USE00000178,CUST02891,SUB002891,2024-04-05,30,1,Smart TV,0
USE00000179,CUST02776,SUB002776,2024-06-23,86,2,Mobile,13
USE00000180,CUST01079,SUB001079,2024-12-28,29,2,Desktop,3
USE00000181,CUST00150,SUB000150,2025-07-06,0,1,Mobile,2
USE00000182,CUST02183,SUB002183,2025-05-13,0,2,Mobile,2
USE00000183,CUST03452,SUB003452,2025-04-07,0,1,Desktop,0
USE00000184,CUST01405,SUB001405,2025-06-21,7,1,Tablet,5
USE00000185,CUST03430,SUB003430,2025-01-25,0,1,Mobile,0
